Date,High,Low,Open,Close,Volume,Adj Close,Name
1987-04-06,19.0,18.375,0.0,18.625,157000.0,6.798392295837402,BKR
1987-04-07,18.625,18.0,18.625,18.0,295600.0,6.5702595710754395,BKR
1987-04-08,18.875,18.25,18.25,18.75,479700.0,6.844022274017334,BKR
1987-04-09,18.75,17.875,18.75,17.875,850800.0,6.524634838104248,BKR
1987-04-10,18.25,17.875,17.875,18.125,224000.0,6.615888595581055,BKR
1987-04-13,18.125,17.5,18.125,17.625,304700.0,6.433380126953125,BKR
1987-04-14,17.5,15.875,17.5,16.125,168300.0,5.885858058929443,BKR
1987-04-15,17.5,16.375,16.375,17.5,414500.0,6.387754440307617,BKR
1987-04-16,18.125,17.75,17.75,18.0,229400.0,6.5702595710754395,BKR
1987-04-20,18.0,17.75,18.0,17.75,135800.0,6.479006767272949,BKR
1987-04-21,17.875,17.5,17.75,17.625,282200.0,6.433380126953125,BKR
1987-04-22,17.75,17.0,17.625,17.25,284900.0,6.296503067016602,BKR
1987-04-23,17.625,17.25,17.375,17.375,219200.0,6.342125415802002,BKR
1987-04-24,17.5,16.875,17.25,16.875,139700.0,6.159618854522705,BKR
1987-04-27,16.75,16.0,16.625,16.5,466500.0,6.02274227142334,BKR
1987-04-28,17.5,16.5,17.125,17.125,272200.0,6.294744968414307,BKR
1987-04-29,17.5,17.25,17.375,17.25,374500.0,6.340694904327393,BKR
1987-04-30,18.0,17.25,17.25,18.0,845800.0,6.616376876831055,BKR
1987-05-01,18.375,17.875,18.125,18.0,713800.0,6.616376876831055,BKR
1987-05-04,18.625,18.0,18.0,18.5,212200.0,6.800163745880127,BKR
1987-05-05,19.375,18.0,18.5,19.375,1040000.0,7.121791362762451,BKR
1987-05-06,20.75,19.25,19.375,20.75,1030000.0,7.627209663391113,BKR
1987-05-07,22.375,21.875,22.0,22.25,1470000.0,8.178574562072754,BKR
1987-05-08,22.125,21.625,22.0,21.875,365400.0,8.040736198425293,BKR
1987-05-11,23.375,21.875,22.0,22.5,815000.0,8.27047061920166,BKR
1987-05-12,22.625,22.25,22.625,22.5,422900.0,8.27047061920166,BKR
1987-05-13,22.625,21.625,22.5,21.875,231300.0,8.040736198425293,BKR
1987-05-14,22.0,21.5,21.75,21.75,341500.0,7.99478816986084,BKR
1987-05-15,22.0,21.125,21.5,21.375,408700.0,7.856943607330322,BKR
1987-05-18,21.125,20.5,21.0,21.0,386200.0,7.719107151031494,BKR
1987-05-19,21.0,20.625,21.0,20.75,270200.0,7.627209663391113,BKR
1987-05-20,20.625,20.125,20.375,20.125,308100.0,7.397474765777588,BKR
1987-05-21,20.5,19.75,20.25,20.375,258900.0,7.489370346069336,BKR
1987-05-22,20.75,20.25,20.375,20.75,255700.0,7.627209663391113,BKR
1987-05-26,22.0,20.625,21.0,21.75,400600.0,7.99478816986084,BKR
1987-05-27,21.875,21.5,21.75,21.625,211500.0,7.9488396644592285,BKR
1987-05-28,21.625,20.5,21.5,21.5,165000.0,7.902891635894775,BKR
1987-05-29,21.875,21.25,21.625,21.875,288100.0,8.040736198425293,BKR
1987-06-01,22.125,21.75,21.875,21.875,363100.0,8.040736198425293,BKR
1987-06-02,21.875,21.5,21.875,21.625,215500.0,7.9488396644592285,BKR
1987-06-03,21.875,21.5,21.5,21.75,442000.0,7.99478816986084,BKR
1987-06-04,22.0,21.75,21.75,22.0,576100.0,8.086682319641113,BKR
1987-06-05,22.125,21.75,22.0,21.875,294100.0,8.040736198425293,BKR
1987-06-08,22.25,21.875,21.875,22.25,310200.0,8.178574562072754,BKR
1987-06-09,22.375,21.875,22.25,22.0,853800.0,8.086682319641113,BKR
1987-06-10,22.75,22.0,22.125,22.0,340700.0,8.086682319641113,BKR
1987-06-11,22.125,21.75,22.0,21.75,89100.0,7.99478816986084,BKR
1987-06-12,21.75,21.125,21.5,21.25,378700.0,7.811001777648926,BKR
1987-06-15,22.0,21.25,21.375,21.75,269300.0,7.99478816986084,BKR
1987-06-16,21.875,21.625,21.75,21.875,160300.0,8.040736198425293,BKR
1987-06-17,22.0,21.75,21.875,21.75,276100.0,7.99478816986084,BKR
1987-06-18,21.625,21.25,21.625,21.375,59300.0,7.856943607330322,BKR
1987-06-19,21.875,21.375,21.625,21.875,284500.0,8.040736198425293,BKR
1987-06-22,22.25,21.75,22.125,22.0,544800.0,8.086682319641113,BKR
1987-06-23,22.0,21.625,21.875,22.0,442000.0,8.086682319641113,BKR
1987-06-24,21.875,21.5,21.75,21.75,241800.0,7.99478816986084,BKR
1987-06-25,22.0,21.625,21.75,21.875,179500.0,8.040736198425293,BKR
1987-06-26,22.0,21.5,21.875,21.5,389200.0,7.902891635894775,BKR
1987-06-29,22.5,21.875,21.875,22.375,1020000.0,8.224519729614258,BKR
1987-06-30,23.375,22.5,22.5,22.75,693400.0,8.3623628616333,BKR
1987-07-01,24.25,23.0,23.0,24.125,560600.0,8.867775917053223,BKR
1987-07-02,24.875,24.25,24.375,24.625,635100.0,9.051568984985352,BKR
1987-07-06,25.25,24.75,24.875,25.25,786500.0,9.281301498413086,BKR
1987-07-07,26.375,25.25,25.875,26.25,1090000.0,9.648874282836914,BKR
1987-07-08,26.5,25.375,26.0,25.75,1010000.0,9.465092658996582,BKR
1987-07-09,26.75,25.875,26.0,26.75,992200.0,9.83266830444336,BKR
1987-07-10,26.625,26.0,26.625,26.25,466900.0,9.648874282836914,BKR
1987-07-13,26.625,25.625,26.625,26.0,441800.0,9.556991577148438,BKR
1987-07-14,26.125,25.5,25.875,26.125,853500.0,9.602932929992676,BKR
1987-07-15,26.875,25.75,25.875,26.375,818800.0,9.694826126098633,BKR
1987-07-16,26.875,26.25,26.5,26.875,392400.0,9.878618240356445,BKR
1987-07-17,27.25,26.625,26.875,27.25,1070000.0,10.016460418701172,BKR
1987-07-20,27.25,26.875,27.0,27.0,403300.0,9.924562454223633,BKR
1987-07-21,27.0,26.125,26.75,26.125,498900.0,9.602932929992676,BKR
1987-07-22,25.875,25.125,25.75,25.375,673700.0,9.327249526977539,BKR
1987-07-23,25.25,24.0,25.25,24.25,489300.0,8.913726806640625,BKR
1987-07-24,24.875,24.25,24.25,24.375,373400.0,8.959676742553711,BKR
1987-07-27,25.875,24.375,24.375,25.75,431500.0,9.465092658996582,BKR
1987-07-28,26.25,25.5,26.25,26.25,508500.0,9.692159652709961,BKR
1987-07-29,27.125,26.375,26.5,26.75,961200.0,9.876781463623047,BKR
1987-07-30,27.0,26.25,27.0,26.625,350900.0,9.830629348754883,BKR
1987-07-31,26.625,25.625,26.5,26.25,325300.0,9.692159652709961,BKR
1987-08-03,27.375,26.625,27.0,26.75,832100.0,9.876781463623047,BKR
1987-08-04,26.75,26.125,26.75,26.625,336300.0,9.830629348754883,BKR
1987-08-05,26.625,25.375,26.5,25.75,498200.0,9.507552146911621,BKR
1987-08-06,26.125,25.5,25.625,26.0,320800.0,9.599861145019531,BKR
1987-08-07,26.5,26.0,26.125,26.125,228200.0,9.646011352539062,BKR
1987-08-10,26.375,25.875,26.0,26.375,332500.0,9.738319396972656,BKR
1987-08-11,26.5,26.25,26.375,26.5,436600.0,9.784476280212402,BKR
1987-08-12,26.5,25.75,26.5,25.875,314300.0,9.553704261779785,BKR
1987-08-13,26.0,25.375,26.0,25.875,360400.0,9.553704261779785,BKR
1987-08-14,26.0,25.5,26.0,25.625,470100.0,9.46140193939209,BKR
1987-08-17,25.625,24.75,25.375,25.0,442400.0,9.230632781982422,BKR
1987-08-18,24.25,23.625,24.25,24.0,865600.0,8.86140251159668,BKR
1987-08-19,24.125,23.625,23.875,24.0,499100.0,8.86140251159668,BKR
1987-08-20,24.625,23.875,24.0,24.25,593300.0,8.95371150970459,BKR
1987-08-21,24.75,24.25,24.5,24.375,435300.0,8.999869346618652,BKR
1987-08-24,23.875,23.375,23.75,23.5,298000.0,8.676795959472656,BKR
1987-08-25,23.75,22.5,23.625,23.125,955900.0,8.538335800170898,BKR
1987-08-26,23.5,23.125,23.375,23.375,664200.0,8.630644798278809,BKR
1987-08-27,24.625,23.5,23.625,24.625,1530000.0,9.092175483703613,BKR
1987-08-28,25.0,24.125,24.875,24.25,248500.0,8.95371150970459,BKR
1987-08-31,25.25,24.25,24.25,25.25,427800.0,9.322936058044434,BKR
1987-09-01,25.75,24.625,25.25,24.625,569800.0,9.092175483703613,BKR
1987-09-02,24.875,24.25,24.625,24.625,256400.0,9.092175483703613,BKR
1987-09-03,24.75,23.875,24.625,24.375,291400.0,8.999869346618652,BKR
1987-09-04,24.375,24.0,24.25,24.0,288600.0,8.86140251159668,BKR
1987-09-08,24.5,23.75,24.0,24.375,713100.0,8.999869346618652,BKR
1987-09-09,24.375,23.875,24.375,24.0,265100.0,8.86140251159668,BKR
1987-09-10,24.625,24.0,24.0,24.5,275400.0,9.046025276184082,BKR
1987-09-11,25.5,24.5,24.5,25.5,736400.0,9.41524600982666,BKR
1987-09-14,25.875,24.5,25.875,25.125,339200.0,9.276787757873535,BKR
1987-09-15,25.25,24.75,25.25,25.125,110500.0,9.276787757873535,BKR
1987-09-16,25.625,24.625,25.0,24.625,236400.0,9.092175483703613,BKR
1987-09-17,25.25,24.625,24.75,24.625,297900.0,9.092175483703613,BKR
1987-09-18,25.0,24.75,25.0,24.875,307200.0,9.18448257446289,BKR
1987-09-21,25.125,24.625,24.875,24.625,411800.0,9.092175483703613,BKR
1987-09-22,25.375,24.625,24.75,25.375,403500.0,9.369094848632812,BKR
1987-09-23,25.5,24.125,25.375,25.0,302900.0,9.230632781982422,BKR
1987-09-24,25.0,24.625,24.875,24.625,144000.0,9.092175483703613,BKR
1987-09-25,24.875,24.25,24.75,24.875,431600.0,9.18448257446289,BKR
1987-09-28,25.625,25.0,25.0,25.375,295000.0,9.369094848632812,BKR
1987-09-29,25.5,25.0,25.5,25.0,137000.0,9.230632781982422,BKR
1987-09-30,24.75,24.125,24.625,24.625,278100.0,9.092175483703613,BKR
1987-10-01,25.375,24.875,24.875,25.0,204000.0,9.230632781982422,BKR
1987-10-02,25.75,25.125,25.25,25.75,255100.0,9.507552146911621,BKR
1987-10-05,26.125,25.625,25.75,26.0,872600.0,9.599861145019531,BKR
1987-10-06,26.25,24.75,26.0,24.75,340300.0,9.13832950592041,BKR
1987-10-07,24.625,23.5,24.25,24.25,501700.0,8.95371150970459,BKR
1987-10-08,24.375,22.625,24.25,23.5,515900.0,8.676795959472656,BKR
1987-10-09,23.625,23.0,23.5,23.375,137900.0,8.630644798278809,BKR
1987-10-12,23.375,22.75,23.375,23.0,130300.0,8.492185592651367,BKR
1987-10-13,23.125,22.5,23.0,22.625,169200.0,8.353724479675293,BKR
1987-10-14,22.625,22.25,22.625,22.25,357500.0,8.215262413024902,BKR
1987-10-15,23.0,21.75,22.25,22.75,403400.0,8.39987850189209,BKR
1987-10-16,22.75,20.875,22.75,20.875,597700.0,7.707580089569092,BKR
1987-10-19,20.125,13.25,20.125,13.25,1071400.0,4.892238140106201,BKR
1987-10-20,15.375,11.625,12.5,13.25,1932100.0,4.892238140106201,BKR
1987-10-21,17.625,15.0,15.25,17.0,1706400.0,6.276831150054932,BKR
1987-10-22,17.0,14.5,15.75,16.5,786800.0,6.092219352722168,BKR
1987-10-23,16.25,14.75,14.75,15.5,335400.0,5.722993850708008,BKR
1987-10-26,14.625,12.625,14.5,12.75,484600.0,4.70762300491333,BKR
1987-10-27,14.5,13.625,13.625,14.25,555200.0,5.261463165283203,BKR
1987-10-28,13.75,13.0,13.75,13.5,925100.0,4.984543323516846,BKR
1987-10-29,15.5,13.25,13.25,15.375,370000.0,5.676840782165527,BKR
1987-10-30,17.375,16.0,17.375,16.875,548000.0,6.230676651000977,BKR
1987-11-02,17.625,16.25,16.5,17.125,220200.0,6.3229827880859375,BKR
1987-11-03,17.25,16.125,17.0,16.625,328100.0,6.138373851776123,BKR
1987-11-04,16.0,15.0,16.0,15.0,226200.0,5.538381099700928,BKR
1987-11-05,16.0,14.625,14.625,15.375,344900.0,5.676840782165527,BKR
1987-11-06,15.5,15.0,15.0,15.25,322300.0,5.6306867599487305,BKR
1987-11-09,14.875,14.375,14.375,14.625,290000.0,5.39992094039917,BKR
1987-11-10,14.125,13.25,13.75,13.5,339400.0,4.984543323516846,BKR
1987-11-11,14.125,13.875,13.875,13.875,371500.0,5.1230010986328125,BKR
1987-11-12,15.125,14.25,15.125,14.375,372900.0,5.30761194229126,BKR
1987-11-13,14.75,14.25,14.5,14.25,180700.0,5.261463165283203,BKR
1987-11-16,14.875,14.375,14.375,14.5,127800.0,5.353769779205322,BKR
1987-11-17,14.625,14.125,14.5,14.25,224000.0,5.261463165283203,BKR
1987-11-18,14.125,13.5,14.125,14.0,548900.0,5.169156074523926,BKR
1987-11-19,13.875,12.875,13.875,13.0,676200.0,4.799930572509766,BKR
1987-11-20,12.5,11.875,12.0,12.5,1430000.0,4.615316390991211,BKR
1987-11-23,13.125,12.5,12.625,13.125,238500.0,4.8460798263549805,BKR
1987-11-24,13.375,13.0,13.25,13.0,272400.0,4.799930572509766,BKR
1987-11-25,13.5,12.875,13.0,13.0,390100.0,4.799930572509766,BKR
1987-11-27,13.0,12.5,12.625,12.625,111900.0,4.661468029022217,BKR
1987-11-30,12.125,11.125,12.125,11.625,493500.0,4.292244911193848,BKR
1987-12-01,12.125,11.75,11.875,11.75,322300.0,4.338397979736328,BKR
1987-12-02,12.5,11.625,11.75,12.375,830700.0,4.569164752960205,BKR
1987-12-03,12.625,11.875,12.25,12.125,508600.0,4.476855754852295,BKR
1987-12-04,12.25,11.875,12.125,12.25,159300.0,4.523012638092041,BKR
1987-12-07,12.5,12.0,12.375,12.375,214500.0,4.569164752960205,BKR
1987-12-08,13.25,12.25,12.5,13.0,736700.0,4.799930572509766,BKR
1987-12-09,13.75,12.875,12.875,13.375,305000.0,4.938390731811523,BKR
1987-12-10,13.5,12.875,12.875,13.0,284300.0,4.799930572509766,BKR
1987-12-11,13.5,13.0,13.0,13.375,215700.0,4.938390731811523,BKR
1987-12-14,13.5,12.75,13.5,13.125,607000.0,4.8460798263549805,BKR
1987-12-15,13.0,12.125,13.0,12.5,1430000.0,4.615316390991211,BKR
1987-12-16,12.875,12.125,12.25,12.875,727500.0,4.7537760734558105,BKR
1987-12-17,13.125,12.75,13.0,12.75,602400.0,4.70762300491333,BKR
1987-12-18,13.125,12.5,13.0,13.125,838300.0,4.8460798263549805,BKR
1987-12-21,13.375,12.875,13.0,13.0,692700.0,4.799930572509766,BKR
1987-12-22,13.875,12.875,12.875,13.625,763700.0,5.030694961547852,BKR
1987-12-23,14.875,13.5,13.5,14.75,644100.0,5.446075916290283,BKR
1987-12-24,14.875,14.625,14.75,14.625,106600.0,5.39992094039917,BKR
1987-12-28,14.375,14.125,14.375,14.375,118200.0,5.30761194229126,BKR
1987-12-29,14.375,13.5,14.25,13.5,139200.0,4.984543323516846,BKR
1987-12-30,13.875,13.5,13.625,13.5,172300.0,4.984543323516846,BKR
1987-12-31,13.75,13.5,13.5,13.625,193000.0,5.030694961547852,BKR
1988-01-04,14.25,13.625,13.75,14.25,401100.0,5.261463165283203,BKR
1988-01-05,15.0,14.375,14.75,14.5,518300.0,5.353769779205322,BKR
1988-01-06,15.25,14.375,14.625,15.25,263800.0,5.6306867599487305,BKR
1988-01-07,16.375,14.875,15.0,16.125,517500.0,5.953760147094727,BKR
1988-01-08,16.125,14.375,16.0,14.5,356500.0,5.353769779205322,BKR
1988-01-11,14.75,13.625,14.5,14.375,247500.0,5.30761194229126,BKR
1988-01-12,14.125,13.5,14.125,13.875,284300.0,5.1230010986328125,BKR
1988-01-13,14.75,13.5,13.875,14.375,254800.0,5.30761194229126,BKR
1988-01-14,14.5,13.75,14.5,14.0,323300.0,5.169156074523926,BKR
1988-01-15,14.5,14.0,14.375,14.25,374000.0,5.261463165283203,BKR
1988-01-18,14.375,14.125,14.125,14.25,204800.0,5.261463165283203,BKR
1988-01-19,14.5,13.75,14.125,14.0,123400.0,5.169156074523926,BKR
1988-01-20,14.0,13.5,13.875,13.875,131100.0,5.1230010986328125,BKR
1988-01-21,14.0,13.5,14.0,13.75,234400.0,5.076847553253174,BKR
1988-01-22,14.0,13.75,14.0,14.0,120600.0,5.169156074523926,BKR
1988-01-25,14.75,13.875,14.125,14.625,219200.0,5.39992094039917,BKR
1988-01-26,15.25,14.625,14.625,14.875,246600.0,5.492227077484131,BKR
1988-01-27,15.125,14.625,15.0,14.75,220400.0,5.446075916290283,BKR
1988-01-28,15.375,14.0,15.0,15.125,307100.0,5.584535598754883,BKR
1988-01-29,15.875,15.125,15.25,15.75,285200.0,5.815298557281494,BKR
1988-02-01,15.75,14.875,15.625,14.875,226600.0,5.532623291015625,BKR
1988-02-02,14.75,14.5,14.75,14.75,202000.0,5.4861321449279785,BKR
1988-02-03,15.75,14.5,14.75,15.375,946900.0,5.718595504760742,BKR
1988-02-04,16.0,15.25,15.375,15.875,392400.0,5.904565811157227,BKR
1988-02-05,16.125,15.625,15.875,16.0,354800.0,5.951060771942139,BKR
1988-02-08,16.0,15.75,15.875,16.0,313400.0,5.951060771942139,BKR
1988-02-09,16.25,15.875,16.0,16.125,292400.0,5.997551441192627,BKR
1988-02-10,16.625,16.125,16.375,16.5,411000.0,6.137031078338623,BKR
1988-02-11,16.875,16.5,16.625,16.75,492000.0,6.230014801025391,BKR
1988-02-12,17.0,16.375,16.5,16.375,444700.0,6.090536117553711,BKR
1988-02-16,16.5,16.25,16.5,16.5,301200.0,6.137031078338623,BKR
1988-02-17,16.625,16.125,16.5,16.5,482900.0,6.137031078338623,BKR
1988-02-18,16.5,16.25,16.375,16.375,207500.0,6.090536117553711,BKR
1988-02-19,16.5,16.125,16.25,16.5,158900.0,6.137031078338623,BKR
1988-02-22,16.75,16.375,16.375,16.75,225000.0,6.230014801025391,BKR
1988-02-23,17.0,16.375,17.0,16.75,373400.0,6.230014801025391,BKR
1988-02-24,16.875,16.5,16.75,16.75,261500.0,6.230014801025391,BKR
1988-02-25,16.875,16.375,16.875,16.375,332100.0,6.090536117553711,BKR
1988-02-26,16.5,16.25,16.5,16.5,128900.0,6.137031078338623,BKR
1988-02-29,16.75,16.25,16.5,16.75,242600.0,6.230014801025391,BKR
1988-03-01,16.625,16.125,16.5,16.5,345500.0,6.137031078338623,BKR
1988-03-02,16.5,15.875,16.375,15.875,223500.0,5.904565811157227,BKR
1988-03-03,16.0,15.75,15.75,15.875,278000.0,5.904565811157227,BKR
1988-03-04,16.0,15.75,15.875,15.875,89600.0,5.904565811157227,BKR
1988-03-07,16.0,15.75,15.875,16.0,147000.0,5.951060771942139,BKR
1988-03-08,16.625,15.875,15.875,16.25,851800.0,6.044044017791748,BKR
1988-03-09,16.625,16.25,16.375,16.5,462200.0,6.137031078338623,BKR
1988-03-10,17.375,16.625,16.625,17.125,418400.0,6.369489669799805,BKR
1988-03-11,17.5,17.125,17.25,17.5,238700.0,6.508969783782959,BKR
1988-03-14,18.0,17.375,17.5,17.75,277600.0,6.601953506469727,BKR
1988-03-15,18.0,17.375,17.875,17.375,375200.0,6.462474822998047,BKR
1988-03-16,17.375,16.875,17.375,17.25,295300.0,6.41598653793335,BKR
1988-03-17,18.125,17.25,17.25,18.125,349700.0,6.741436004638672,BKR
1988-03-18,18.5,18.125,18.375,18.375,773700.0,6.834421634674072,BKR
1988-03-21,18.375,17.75,18.25,18.0,267400.0,6.69494104385376,BKR
1988-03-22,18.125,17.75,18.125,18.0,350200.0,6.69494104385376,BKR
1988-03-23,17.75,17.625,17.75,17.625,250600.0,6.555459499359131,BKR
1988-03-24,17.5,17.0,17.5,17.375,189000.0,6.462474822998047,BKR
1988-03-25,17.375,17.125,17.25,17.125,282000.0,6.369489669799805,BKR
1988-03-28,17.25,17.0,17.125,17.25,664400.0,6.41598653793335,BKR
1988-03-29,17.5,17.125,17.375,17.5,382700.0,6.508969783782959,BKR
1988-03-30,17.875,17.5,17.75,17.75,678400.0,6.601953506469727,BKR
1988-03-31,17.875,17.5,17.5,17.875,344900.0,6.648449420928955,BKR
1988-04-04,17.875,17.125,17.875,17.125,256100.0,6.369489669799805,BKR
1988-04-05,17.75,17.125,17.125,17.75,305000.0,6.601953506469727,BKR
1988-04-06,18.375,17.625,17.75,18.375,435200.0,6.834421634674072,BKR
1988-04-07,19.125,18.375,18.375,19.0,682600.0,7.066882133483887,BKR
1988-04-08,19.25,18.75,19.0,19.0,476100.0,7.066882133483887,BKR
1988-04-11,19.875,19.25,19.375,19.75,1946000.0,7.345836162567139,BKR
1988-04-12,19.625,19.0,19.625,19.375,564900.0,7.206357002258301,BKR
1988-04-13,19.375,19.0,19.25,19.375,361100.0,7.206357002258301,BKR
1988-04-14,19.0,18.25,19.0,18.25,305100.0,6.787923336029053,BKR
1988-04-15,18.25,17.5,18.25,17.75,513700.0,6.601953506469727,BKR
1988-04-18,18.25,18.0,18.0,18.25,258900.0,6.787923336029053,BKR
1988-04-19,18.5,17.5,18.5,17.625,206900.0,6.555459499359131,BKR
1988-04-20,17.5,17.125,17.375,17.25,426900.0,6.41598653793335,BKR
1988-04-21,17.625,16.75,17.125,17.125,279900.0,6.369489669799805,BKR
1988-04-22,17.375,17.125,17.25,17.375,173500.0,6.462474822998047,BKR
1988-04-25,17.375,17.125,17.125,17.25,181300.0,6.41598653793335,BKR
1988-04-26,17.5,17.375,17.375,17.375,576300.0,6.462474822998047,BKR
1988-04-27,17.875,17.5,17.5,17.75,836000.0,6.601953506469727,BKR
1988-04-28,17.75,17.625,17.75,17.75,439800.0,6.601953506469727,BKR
1988-04-29,17.75,17.375,17.75,17.5,278300.0,6.508969783782959,BKR
1988-05-02,17.375,16.875,17.375,17.125,358100.0,6.704726219177246,BKR
1988-05-03,17.5,17.125,17.25,17.5,265200.0,6.851545333862305,BKR
1988-05-04,17.5,17.0,17.5,17.0,109700.0,6.655786037445068,BKR
1988-05-05,17.25,16.875,17.0,17.25,392700.0,6.753669261932373,BKR
1988-05-06,18.0,17.125,17.25,17.5,268600.0,6.851545333862305,BKR
1988-05-09,17.5,17.0,17.375,17.375,210100.0,6.802605152130127,BKR
1988-05-10,17.5,16.75,17.375,17.0,299800.0,6.655786037445068,BKR
1988-05-11,16.75,16.5,16.75,16.625,288300.0,6.508970737457275,BKR
1988-05-12,17.0,16.5,16.75,16.5,259300.0,6.460030555725098,BKR
1988-05-13,16.875,16.5,16.625,16.875,174000.0,6.606845855712891,BKR
1988-05-16,17.0,16.75,16.875,17.0,213700.0,6.655786037445068,BKR
1988-05-17,17.25,16.75,17.125,16.75,238300.0,6.557910442352295,BKR
1988-05-18,16.75,16.125,16.75,16.25,332200.0,6.362154006958008,BKR
1988-05-19,16.75,16.25,16.25,16.75,312300.0,6.557910442352295,BKR
1988-05-20,16.75,16.5,16.625,16.75,134600.0,6.557910442352295,BKR
1988-05-23,16.875,16.625,16.625,16.625,187500.0,6.508970737457275,BKR
1988-05-24,16.75,16.5,16.75,16.75,198600.0,6.557910442352295,BKR
1988-05-25,16.75,16.625,16.75,16.625,95800.0,6.508970737457275,BKR
1988-05-26,16.75,16.5,16.625,16.625,75400.0,6.508970737457275,BKR
1988-05-27,16.75,16.25,16.625,16.25,201400.0,6.362154006958008,BKR
1988-05-31,16.75,16.25,16.375,16.75,158600.0,6.557910442352295,BKR
1988-06-01,16.75,16.0,16.75,16.25,672700.0,6.362154006958008,BKR
1988-06-02,16.375,16.0,16.25,16.25,697900.0,6.362154006958008,BKR
1988-06-03,16.25,15.375,16.0,15.5,563900.0,6.068511486053467,BKR
1988-06-06,15.625,14.625,15.625,15.25,459600.0,5.970633029937744,BKR
1988-06-07,15.75,15.125,15.25,15.625,843600.0,6.11745023727417,BKR
1988-06-08,16.625,15.75,15.75,15.875,769200.0,6.21533203125,BKR
1988-06-09,16.25,15.875,16.125,16.0,252200.0,6.264273643493652,BKR
1988-06-10,16.0,15.75,16.0,15.875,147500.0,6.21533203125,BKR
1988-06-13,15.875,15.75,15.875,15.75,143200.0,6.1663923263549805,BKR
1988-06-14,16.5,16.0,16.5,16.25,644400.0,6.362154006958008,BKR
1988-06-15,16.25,16.0,16.25,16.25,427400.0,6.362154006958008,BKR
1988-06-16,16.125,15.75,16.125,15.75,284600.0,6.1663923263549805,BKR
1988-06-17,15.875,15.625,15.75,15.75,907600.0,6.1663923263549805,BKR
1988-06-20,15.75,15.5,15.625,15.625,219700.0,6.11745023727417,BKR
1988-06-21,15.75,15.25,15.75,15.5,353800.0,6.068511486053467,BKR
