Date,High,Low,Open,Close,Volume,Adj Close,Name
1988-01-26,11.75,11.25,11.5,11.5,7244600.0,7.3150458335876465,MOS
1988-01-27,12.375,11.4375,11.5625,12.375,3652400.0,7.871626377105713,MOS
1988-01-28,12.5625,12.125,12.25,12.5625,2180000.0,7.990894317626953,MOS
1988-01-29,12.5625,11.875,12.4375,12.25,1335400.0,7.792118549346924,MOS
1988-02-01,12.25,11.9375,12.125,12.0,488800.0,7.633092403411865,MOS
1988-02-02,12.0,11.8125,12.0,12.0,476800.0,7.633092403411865,MOS
1988-02-03,12.625,12.0,12.0,12.125,1284600.0,7.712602138519287,MOS
1988-02-04,12.3125,12.0625,12.125,12.3125,328000.0,7.831871032714844,MOS
1988-02-05,12.4375,12.25,12.25,12.375,403600.0,7.871626377105713,MOS
1988-02-08,12.125,11.875,12.125,12.0,143400.0,7.633092403411865,MOS
1988-02-09,12.125,11.875,12.125,11.875,157000.0,7.553579807281494,MOS
1988-02-10,12.3125,12.0,12.0,12.25,456400.0,7.792118549346924,MOS
1988-02-11,12.5625,12.375,12.375,12.375,484000.0,7.871626377105713,MOS
1988-02-12,12.8125,12.5,12.5,12.75,222600.0,8.110157012939453,MOS
1988-02-16,13.25,12.8125,12.8125,13.25,838000.0,8.428203582763672,MOS
1988-02-17,13.4375,12.875,13.25,13.0625,642400.0,8.308937072753906,MOS
1988-02-18,13.3125,12.9375,13.0,13.25,516000.0,8.428203582763672,MOS
1988-02-19,14.625,13.25,13.25,14.25,1103400.0,9.064299583435059,MOS
1988-02-22,14.25,14.0,14.125,14.1875,326600.0,9.024541854858398,MOS
1988-02-23,14.125,13.8125,14.125,14.0,245000.0,8.905275344848633,MOS
1988-02-24,13.9375,13.75,13.9375,13.875,271600.0,8.825767517089844,MOS
1988-02-25,14.25,13.875,13.875,14.0625,948000.0,8.945033073425293,MOS
1988-02-26,14.125,14.0,14.0625,14.125,256000.0,8.984787940979004,MOS
1988-02-29,15.1875,14.1875,14.25,15.125,647800.0,9.62087345123291,MOS
1988-03-01,15.375,14.875,15.1875,14.875,587200.0,9.46185302734375,MOS
1988-03-02,15.1875,14.8125,14.8125,15.1875,192000.0,9.66063117980957,MOS
1988-03-03,15.3125,15.0,15.3125,15.0,232800.0,9.541365623474121,MOS
1988-03-04,15.5,14.875,14.875,15.5,426000.0,9.85940933227539,MOS
1988-03-07,16.0625,15.25,15.25,15.9375,463400.0,10.137694358825684,MOS
1988-03-08,16.0625,15.8125,15.875,15.9375,494800.0,10.137694358825684,MOS
1988-03-09,16.0,15.8125,16.0,15.875,205400.0,10.097943305969238,MOS
1988-03-10,15.9375,14.5625,15.9375,14.5625,414200.0,9.263079643249512,MOS
1988-03-11,14.6875,14.0,14.5,14.5,223400.0,9.26786994934082,MOS
1988-03-14,15.125,14.5625,14.625,15.0625,144800.0,9.627396583557129,MOS
1988-03-15,15.9375,15.25,15.25,15.9375,673200.0,10.186663627624512,MOS
1988-03-16,16.125,15.5625,16.0,15.6875,202800.0,10.026876449584961,MOS
1988-03-17,15.875,15.5,15.875,15.75,146600.0,10.066824913024902,MOS
1988-03-18,15.8125,15.4375,15.8125,15.4375,166800.0,9.867083549499512,MOS
1988-03-21,15.375,14.9375,15.375,15.0,254400.0,9.587448120117188,MOS
1988-03-22,15.25,14.8125,15.0,14.875,515000.0,9.50755500793457,MOS
