Date,High,Low,Open,Close,Volume,Adj Close,Name
1997-11-21,23.5,22.75,23.5,23.0,3821400.0,8.510211944580078,PLD
1997-11-24,23.0,22.25,23.0,22.75,541600.0,8.417708396911621,PLD
1997-11-25,23.0,22.6875,22.875,23.0,425000.0,8.510211944580078,PLD
1997-11-26,23.0,22.75,23.0,22.75,165200.0,8.417708396911621,PLD
1997-11-28,23.0,22.75,22.75,23.0,60500.0,8.510211944580078,PLD
1997-12-01,23.125,23.0,23.0625,23.0625,120300.0,8.533333778381348,PLD
1997-12-02,23.125,22.875,23.125,23.0,164200.0,8.510211944580078,PLD
1997-12-03,23.0625,22.9375,23.0625,23.0,540000.0,8.510211944580078,PLD
1997-12-04,23.0625,23.0,23.0,23.0,43800.0,8.510211944580078,PLD
1997-12-05,23.375,22.875,22.875,23.0625,147500.0,8.533333778381348,PLD
1997-12-08,23.25,23.0,23.0,23.1875,74900.0,8.57958984375,PLD
1997-12-09,23.1875,23.0,23.125,23.1875,61000.0,8.57958984375,PLD
1997-12-10,23.25,23.0625,23.125,23.0625,104500.0,8.533333778381348,PLD
1997-12-11,23.125,23.0,23.0,23.0625,153600.0,8.533333778381348,PLD
1997-12-12,23.1875,23.0625,23.0625,23.1875,59900.0,8.57958984375,PLD
1997-12-15,23.1875,23.0625,23.125,23.1875,24400.0,8.57958984375,PLD
1997-12-16,23.75,23.1875,23.1875,23.625,107900.0,8.792275428771973,PLD
1997-12-17,24.25,23.6875,23.75,24.1875,63900.0,9.001614570617676,PLD
1997-12-18,24.25,24.125,24.125,24.25,35700.0,9.024879455566406,PLD
1997-12-19,24.25,23.75,24.25,23.875,134400.0,8.885316848754883,PLD
1997-12-22,24.125,23.875,23.9375,24.0,34400.0,8.93183708190918,PLD
1997-12-23,24.1875,24.0,24.0,24.0,88500.0,8.93183708190918,PLD
1997-12-24,24.0,23.8125,23.9375,24.0,63300.0,8.93183708190918,PLD
1997-12-26,23.875,23.5625,23.875,23.6875,34600.0,8.815536499023438,PLD
1997-12-29,24.0625,23.75,23.875,23.8125,159600.0,8.862056732177734,PLD
1997-12-30,24.3125,23.6875,24.0,24.3125,52400.0,9.048138618469238,PLD
1997-12-31,25.125,24.375,24.375,25.125,215700.0,9.35051155090332,PLD
1998-01-02,25.0,24.625,25.0,24.875,52000.0,9.257476806640625,PLD
1998-01-05,24.9375,24.625,24.75,24.625,42300.0,9.164435386657715,PLD
1998-01-06,24.75,24.625,24.75,24.6875,26900.0,9.18769359588623,PLD
1998-01-07,24.75,24.4375,24.6875,24.625,49500.0,9.164435386657715,PLD
