Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
1984-07-19,0.957631528377533,0.9625682002172363,0.9477593286378412,0.957631528377533,70200,0.0,0.0,AME
1984-07-20,0.9526953103208822,0.9625680808056629,0.947759211063385,0.947759211063385,52650,0.0,0.0,AME
1984-07-23,0.9428234289476729,0.9477595298655487,0.9230778813362122,0.9230778813362122,113400,0.0,0.0,AME
1984-07-24,0.9280145542240668,0.9329506551419425,0.9181417804183364,0.9230778813362122,55350,0.0,0.0,AME
1984-07-25,0.908269578582585,0.9230778813362122,0.9033329056947302,0.9230778813362122,116100,0.0,0.0,AME
1984-07-26,0.9329499006271362,0.9329499006271362,0.9280138037012843,0.9329499006271362,66150,0.0,0.0,AME
1984-07-27,0.9329499006271362,0.9378859975529882,0.923077134805916,0.9329499006271362,144450,0.0,0.0,AME
1984-07-30,0.9428230276225913,0.9428230276225913,0.9280141592025757,0.9280141592025757,135000,0.0,0.0,AME
1984-07-31,0.92801424206361,0.947759211063385,0.9230775708363264,0.947759211063385,82350,0.0,0.0,AME
1984-08-01,0.947759280443837,1.021802999053591,0.947759280443837,1.0069941282272339,697950,0.0,0.0,AME
1984-08-02,1.011930744964148,1.011930744964148,0.9921858279810797,0.9971219301223755,2164050,0.0,0.0,AME
1984-08-03,1.0020579564318381,1.0464839937411483,1.0020579564318381,1.0415478944778442,783000,0.0,0.0,AME
1984-08-06,1.0662289627641512,1.0810377689716517,1.011930154958446,1.0415478944778442,909900,0.0,0.0,AME
1984-08-07,1.0415478853002789,1.1007827918473416,1.0316751148908774,1.0909099578857422,523800,0.0,0.0,AME
1984-08-08,1.105719091633536,1.135336836264321,1.0958468914031982,1.0958468914031982,1217700,0.0,0.0,AME
1984-08-09,1.0958466221545065,1.1205276250839233,1.085973788827821,1.1205276250839233,402300,0.0,0.0,AME
1984-08-10,1.1254640005118879,1.1254640005118879,1.0958468914031982,1.0958468914031982,662850,0.0,0.0,AME
1984-08-13,1.1007818168135075,1.1007818168135075,1.071164103789414,1.0761007070541382,184950,0.0,0.0,AME
1984-08-14,1.0859737183467533,1.0859737183467533,1.0366110801696777,1.0366110801696777,224100,0.0,0.0,AME
1984-08-15,1.046483849303414,1.0711649141831925,1.0267388830056496,1.0366110801696777,218700,0.0,0.0,AME
1984-08-16,1.0267390247181452,1.0415478944778442,1.0267390247181452,1.0415478944778442,66150,0.0,0.0,AME
1984-08-17,1.0316749815876636,1.0366110801696777,1.0218027844236355,1.0366110801696777,86400,0.0,0.0,AME
1984-08-20,1.0267388830056496,1.0366110801696777,1.0267388830056496,1.0366110801696777,67500,0.0,0.0,AME
1984-08-21,1.041547969498791,1.041547969498791,1.0069941282272339,1.0069941282272339,398250,0.0,0.0,AME
1984-08-22,1.0168665647506714,1.0366114750171231,1.0168665647506714,1.0168665647506714,535950,0.0,0.0,AME
1984-08-23,1.02673947573212,1.0366116785952726,1.0168667644511558,1.0316755771636963,70200,0.0,0.0,AME
1984-08-24,1.041547776315908,1.0662288418021875,1.0366111056428742,1.0563560724258423,203850,0.0,0.0,AME
1984-08-27,1.0563561922677562,1.0563561922677562,1.0316751239814492,1.0415478944778442,386100,0.0,0.0,AME
1984-08-28,1.0514199730210019,1.0563560717210199,1.0464838743209839,1.0464838743209839,110700,0.0,0.0,AME
1984-08-29,1.056356571357187,1.0909103589878366,1.056356571357187,1.0612932443618774,499500,0.0,0.0,AME
1984-08-30,1.0662288410907776,1.0662288410907776,1.0464838743209839,1.0464838743209839,129600,0.0,0.0,AME
1984-08-31,1.0514199730210019,1.0514199730210019,1.036611104951226,1.0464838743209839,49950,0.0,0.0,AME
1984-09-04,1.0366116785952726,1.0415483519968873,1.02673947573212,1.0316755771636963,64800,0.0,0.0,AME
